id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,room_type,host_is_superhost,price,occupancy_rate,review_scores_rating,availability_365,has_price
1453563142396431649,Mitte,Alexanderplatz,52.511029870593326,13.424169793725014,Entire home/apt,No,120.0,17.3,4.8,11,True
1453574353445240512,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5111578,13.4585409,Entire home/apt,No,167.0,0.0,,61,True
1453577638823278663,Neukölln,Britz,52.46113390343951,13.429950576721184,Entire home/apt,No,,6.8,5.0,0,False
1453605594557617074,Mitte,Alexanderplatz,52.5248415,13.4178123,Private room,Unknown,73.0,24.1,5.0,79,True
1453608835059077187,Mitte,Alexanderplatz,52.5248415,13.4178123,Private room,Unknown,53.0,34.5,5.0,347,True
1454117197821162691,Reinickendorf,West 4,52.567038,13.320452,Entire home/apt,No,102.0,0.0,,365,True
1454237556782865362,Charlottenburg-Wilm.,Schmargendorf,52.47101,13.29387,Entire home/apt,No,170.0,0.0,,358,True
1454269393025411817,Charlottenburg-Wilm.,Kurfürstendamm,52.50276730128702,13.316802015332817,Entire home/apt,No,170.0,0.0,,115,True
1454299086324385695,Tempelhof - Schöneberg,Schöneberg-Süd,52.48536427800175,13.351488970220087,Entire home/apt,No,329.0,20.8,5.0,112,True
1454341832442364964,Pankow,Karow,52.6067089,13.4697567,Entire home/apt,No,165.0,0.0,,362,True
1454351589132842611,Neukölln,Neuköllner Mitte/Zentrum,52.47937,13.43356,Entire home/apt,No,46.0,0.0,,365,True
1454373804385919225,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48879,13.39318,Private room,No,171.0,6.8,5.0,361,True
1454440857807132373,Charlottenburg-Wilm.,Westend,52.51583,13.27359,Private room,No,109.0,6.8,4.5,279,True
1454475173040777945,Steglitz - Zehlendorf,Albrechtstr.,52.449,13.34075,Entire home/apt,No,65.0,0.0,,175,True
1454494451377112609,Neukölln,Schillerpromenade,52.4682787538349,13.42805256435515,Entire home/apt,No,108.0,13.7,5.0,52,True
1454900442456377077,Pankow,Prenzlauer Berg Südwest,52.537689120839936,13.41996645591855,Private room,No,,0.0,,0,False
1454963970704752693,Neukölln,Neuköllner Mitte/Zentrum,52.482,13.43074,Entire home/apt,No,132.0,0.0,,149,True
1455010652344486876,Pankow,Prenzlauer Berg Südwest,52.53114,13.41741,Private room,No,81.0,17.3,5.0,333,True
1455102287529015621,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51521049999999,13.4566692,Private room,No,59.0,24.1,3.86,117,True
1455620859768121218,Pankow,Prenzlauer Berg Nord,52.55366,13.41674,Entire home/apt,No,57.0,58.6,4.65,345,True
1455628424561446388,Charlottenburg-Wilm.,Schmargendorf,52.4708454,13.2790413,Entire home/apt,No,214.0,3.6,4.0,288,True
1455684676397970355,Charlottenburg-Wilm.,Kantstraße,52.51093315967739,13.313085479858158,Entire home/apt,No,78.0,0.0,,202,True
